"year","ssb0","ssb","rec","f","catch","exploit","LRP","ratio","run"
1973,204529.110353443,177631.346272998,247789.773949615,0.317821570858129,43818.881280451,21.4242760870218,43062.0807176994,4.12500611471818,"2022retro"
1974,193207.372126652,167798.537633191,358733.536775371,0.452210178838179,50529.8897201359,26.1531892722046,43062.0807176994,3.89666580983911,"2022retro"
1975,198628.391915301,172506.635378135,489092.87835572,0.414812728939324,41619.473961108,20.9534364950482,43062.0807176994,4.0059986071976,"2022retro"
1976,258961.041527789,224904.896712981,273820.72572808,0.332125683271292,38139.5751070839,14.7279200307785,43062.0807176994,5.22280607357044,"2022retro"
1977,292098.428457761,253684.363079251,119949.944280583,0.245779997899195,34228.6188874609,11.7181797478964,43062.0807176994,5.891131103077,"2022retro"
1978,267131.179151278,232000.57391408,151784.661341606,0.244757145718818,36513.4996083426,13.6687524550119,43062.0807176994,5.38758392644791,"2022retro"
1979,222034.874987403,192834.915750687,200449.436957197,0.265650711186893,35177.300534274,15.843142000224,43062.0807176994,4.47806776952671,"2022retro"
1980,191316.977067058,166156.749729048,72167.6337614999,0.287292579504738,32835.5562630797,17.1629077390087,43062.0807176994,3.85853973983087,"2022retro"
1981,153181.382971066,133036.393861438,212183.173543478,0.309922319725685,29573.8050785646,19.3063964464603,43062.0807176994,3.08940932821106,"2022retro"
1982,147400.673279075,128015.909279916,410860.83946501,0.321665430603736,26615.3176947305,18.0564424182375,43062.0807176994,2.97282219405852,"2022retro"
1983,204504.107580386,177609.631631835,853459.917451835,0.281509882931964,23837.3902410072,11.6561914198409,43062.0807176994,4.12450185108761,"2022retro"
1984,371251.989815486,322428.385101241,118795.271935665,0.226668925401231,35446.1828614558,9.54774218963049,43062.0807176994,7.4875245164063,"2022retro"
1985,491651.572123659,426994.135468753,359077.699065923,0.217444683535755,47117.5096784335,9.58351652877105,43062.0807176994,9.9157803885043,"2022retro"
1986,463996.080150542,402975.63628036,183504.601921635,0.20655794300934,47781.6176258583,10.2978494150976,43062.0807176994,9.35801590550475,"2022retro"
1987,412036.453261477,357849.255687408,158774.935434141,0.196369001093323,52144.4160860348,12.6552919464492,43062.0807176994,8.31007814121543,"2022retro"
1988,365488.544489349,317422.894436937,485438.187572022,0.189683197551602,46417.3366500883,12.7000797562455,43062.0807176994,7.37128557530361,"2022retro"
1989,388421.650234282,337340.051660444,472413.098048982,0.180130448213807,45226.6747043594,11.6437059255271,43062.0807176994,7.83380751784691,"2022retro"
1990,405582.42852233,352244.004184027,226681.999704866,0.206130860763183,48964.4764102586,12.0726325814095,43062.0807176994,8.17991138173794,"2022retro"
1991,358315.659552567,311193.320535305,276837.370018826,0.235060934946435,49090.5745919303,13.7003709671049,43062.0807176994,7.22662062187343,"2022retro"
1992,312031.676755496,270996.17617325,219566.369829134,0.268564194121778,48237.1501061693,15.4590555060752,43062.0807176994,6.29315099634432,"2022retro"
1993,253927.594052941,220533.401380083,65415.3421211713,0.31103882457432,47955.1355380264,18.8853581340311,43062.0807176994,5.12128995405091,"2022retro"
1994,197676.438809881,171679.87428084,191278.482958755,0.399525424375556,46534.3456193964,23.5406636721899,43062.0807176994,3.98679932366287,"2022retro"
1995,156505.713849386,135923.539697805,203806.959436643,0.4279362045565,38906.4113011747,24.8594190871629,43062.0807176994,3.15645545761884,"2022retro"
1996,139368.815896794,121040.326990325,185371.145077372,0.595029426262533,44013.7197634792,31.5807517487072,43062.0807176994,2.81083321969102,"2022retro"
1997,124044.473260419,107731.299201841,235110.301381659,0.784720154543234,44373.6740712127,35.7723910665932,43062.0807176994,2.50176715584394,"2022retro"
1998,113904.472887947,98924.8172577386,117818.284088127,0.96348487729071,39872.5862942819,35.0052858183246,43062.0807176994,2.29726050411397,"2022retro"
1999,94306.4107386645,81904.1097511003,134575.318055179,1.18322438980074,40992.2850573824,43.4671245955669,43062.0807176994,1.90200074836226,"2022retro"
2000,85332.5256543787,74110.3864709949,401427.828802944,1.26627561599387,33948.9567138203,39.7843102070169,43062.0807176994,1.72101266905419,"2022retro"
2001,126701.133593874,110038.580306258,107907.100918232,1.0417725793431,39879.892732464,31.4755611108377,43062.0807176994,2.55534749998808,"2022retro"
2002,178772.578381662,155262.073549107,114951.464821292,0.866402495980132,58224.4639378605,32.5690128010332,43062.0807176994,3.60554044211084,"2022retro"
2003,178743.94664096,155237.207188333,256346.40165781,0.822637812309527,68486.6746580865,38.3155211379854,43062.0807176994,3.60496298834271,"2022retro"
2004,167000.473221614,145038.126041424,397495.894511099,0.888575827000849,73103.4731967477,43.7744108064518,43062.0807176994,3.36811699816006,"2022retro"
2005,169654.568585328,147343.179497037,187608.483496881,1.05412718820537,71006.9486854047,41.8538382299392,43062.0807176994,3.42164561120419,"2022retro"
2006,144713.442590287,125682.078148638,310450.009540043,1.14117176898854,72663.2755596703,50.2118353755116,43062.0807176994,2.91862529756905,"2022retro"
2007,135801.763272502,117942.379911865,96897.1997550164,1.10380508083143,65573.9431431514,48.2865182034268,43062.0807176994,2.7388918033259,"2022retro"
2008,108020.376806883,93814.5427023322,190777.946564887,1.09870342157411,54118.3648564534,50.1001444877437,43062.0807176994,2.17858824141242,"2022retro"
2009,91457.9795057851,79430.2776702387,192919.759311773,1.46032654656322,52511.3424377626,57.4158129465795,43062.0807176994,1.84455270963233,"2022retro"
2010,73004.9872557832,63404.0511322722,55728.7104921884,1.90006807597507,46369.0002505474,63.5148391822701,43062.0807176994,1.47238707641481,"2022retro"
2011,41101.3318910113,35696.0674438818,130312.276698443,2.02766665796488,24619.7410774684,59.9001052879569,43062.0807176994,0.828944325238098,"2022retro"
2012,38342.5660100758,33300.1087628131,77331.9712905266,1.65227207113269,18741.8855376292,48.8801024237766,43062.0807176994,0.773304684952812,"2022retro"
2013,40457.0200662345,35136.4895106627,60358.7046832032,1.35080762576003,17171.2132645581,42.4430994582552,43062.0807176994,0.815949645838198,"2022retro"
2014,38119.4813130121,33106.36208781,78034.7435825549,1.13697226882848,16468.9283124006,43.2034428201386,43062.0807176994,0.768805444048193,"2022retro"
2015,34303.2940578848,29792.0442452951,100426.401212211,1.10169146757378,13893.9125484211,40.5031438816806,43062.0807176994,0.69183940368794,"2022retro"
2016,35467.1396819845,30802.8317302917,179820.561164977,1.04717817726787,14352.5108428304,40.4670660547253,43062.0807176994,0.715312200825241,"2022retro"
2017,52912.7897634175,45954.1923616339,47723.3805785061,0.994521088610368,16520.4122627842,31.2219641728398,43062.0807176994,1.06716144681661,"2022retro"
2018,61509.1329880175,53420.0245718836,93811.8586791945,0.886381723161024,19155.2675697085,31.1421518060418,43062.0807176994,1.24053514557477,"2022retro"
2019,52475.1012064287,45574.0645280367,48760.1895955834,0.839200492861969,17301.6987947915,32.9712537889719,43062.0807176994,1.0583340091438,"2022retro"
2020,45797.4299549562,39774.5784191021,72447.923333241,0.820376996713744,16772.1680017981,36.6225092069451,43062.0807176994,0.92365667789838,"2022retro"
