"year","age","Estimate","Low","High"
"1987","6",62899.1754065591,34273.6058657974,115433.032705006
"1987","7",3209.41277071639,1381.78480330328,7454.36648906082
"1987","8",1237.66824714887,464.363217177004,3298.75974956187
"1987","9",1475.15543557275,518.356439162754,4198.04480988919
"1987","10",5488.18304628664,2522.25191917378,11941.7703364915
"1988","1",459997.690808185,181288.467751805,1167188.83541204
"1988","2",84023.32869454,37634.3551583056,187592.420149456
"1988","3",47385.2329976845,25033.860104848,89692.9317668439
"1988","4",55615.5004493824,30166.3192020095,102534.348639698
"1988","5",30544.3797688863,16490.0181288449,56577.2049597684
"1988","6",371708.404785009,222654.194557341,620545.85795029
"1988","7",42314.5647365054,21888.0759205123,81803.5534663845
"1988","8",2062.52888042464,771.510718469908,5513.89019069296
"1988","9",828.694195000307,265.790005078633,2583.74677642238
"1988","10",4729.89736836493,1985.47111262272,11267.81899421
"1989","1",492382.692312219,193870.827410288,1250527.05931643
"1989","2",345110.704127487,157885.236015579,754354.245583914
"1989","3",52910.4034853872,27911.5800375253,100299.259061032
"1989","4",27744.7065222584,14961.877283868,51448.6735455463
"1989","5",26790.9386278576,14448.0227668669,49678.3818895711
"1989","6",15613.1986163406,8127.13685012419,29994.8155825103
"1989","7",352078.364309096,213513.01203937,580569.649739713
"1989","8",25130.6054608225,11120.0396977239,56793.621964928
"1989","9",1340.45579706021,425.855857249565,4219.31908011618
"1989","10",3921.93058695136,1467.88706842892,10478.6940764642
"1990","1",191478.950361482,75148.6301909739,487888.978659504
"1990","2",397006.804945229,180918.456827223,871190.291675665
"1990","3",224838.767098274,119261.78961114,423878.187264346
"1990","4",31969.7182535755,16907.4992863457,60450.2693096903
"1990","5",18902.3626282755,9952.684279987,35899.7937520524
"1990","6",17200.4484977304,8807.60467800491,33590.9068741371
"1990","7",11281.8816210721,4922.00172279936,25859.5709794863
"1990","8",245996.493710653,141796.163271287,426769.480371331
"1990","9",15571.282983669,6170.61418411121,39293.4716906829
"1990","10",3212.74444841093,1104.00758197187,9349.32609100348
"1991","1",226355.494208907,89522.4799919582,572334.566280571
"1991","2",140141.559975841,63382.9907196876,309856.897086459
"1991","3",308135.352659043,166005.459663906,571953.451112651
"1991","4",142093.776483767,77846.0095373001,259366.426557092
"1991","5",17755.5429080542,9381.77585243279,33603.3719967852
"1991","6",12336.233870307,6334.26509700896,24025.3073990811
"1991","7",11790.9194324772,5203.91163576171,26715.6306244273
"1991","8",7927.5152135987,3112.54073027834,20191.0602648464
"1991","9",153446.146314844,87295.5849653059,269724.062542619
"1991","10",10686.4716375059,3849.10611045226,29669.4018772581
"1992","1",215892.224764545,84706.3658382327,550247.342717981
