"logssb","CV","sdlogssb","logLRP","Lsdlogssb","Hsdlogssb","probLRP","LprobLRP","UprobLRP","ssb","Lssb","Hssb","ratio"
10.715,0.0233673323690734,0.250380966334622,10.598557136595,0.0759184503049759,0.424843482364268,0.679056743517538,0.937459181657718,0.607990021748984,45026.2080349675,38800.9433089529,103537.922488472,1.12349331605066
10.716,0.0233673323690734,0.250404333666991,10.598557136595,0.0759255355546544,0.424883131779327,0.680469793345467,0.939046237514556,0.608884240237837,45071.2567636127,38839.2242916781,103649.566787807,1.12461737130067
10.717,0.0233673323690734,0.25042770099936,10.598557136595,0.0759326208043329,0.424922781194387,0.681879964719321,0.940601345144322,0.609777716773624,45116.3505635185,38877.5430423933,103761.331472497,1.12574255116814
10.718,0.0233673323690734,0.250451068331729,10.598557136595,0.0759397060540114,0.424962430609447,0.683287242065127,0.942124894961835,0.610670447258665,45161.4894797786,38915.8995983602,103873.216672352,1.12686885677825
10.719,0.0233673323690734,0.250474435664098,10.598557136595,0.0759467913036899,0.425002080024506,0.684691609941082,0.94361727996073,0.611562427609256,45206.6735575319,38954.2939968777,103985.222517325,1.12799628925732
10.72,0.0233673323690734,0.250497802996467,10.598557136595,0.0759538765533683,0.425041729439566,0.686093053037894,0.945078895458664,0.612453653755701,45251.9028419626,38992.7262752811,104097.349137505,1.12912484973277
10.721,0.0233673323690734,0.250521170328836,10.598557136595,0.0759609618030468,0.425081378854626,0.687491556179115,0.946510138846444,0.61334412164236,45297.1773782998,39031.1964709427,104209.596663124,1.13025453933316
10.722,0.0233673323690734,0.250544537661205,10.598557136595,0.0759680470527253,0.425121028269685,0.688887104321489,0.94791140934122,0.614233827227697,45342.4972118182,39069.7046212716,104321.965224553,1.13138535918818
10.723,0.0233673323690734,0.250567904993574,10.598557136595,0.0759751323024038,0.425160677684745,0.690279682555266,0.94928310774381,0.615122766484319,45387.8623878376,39108.250763714,104434.454952304,1.13251731042866
10.724,0.0233673323690734,0.250591272325943,10.598557136595,0.0759822175520823,0.425200327099805,0.691669276104508,0.950625636200297,0.616010935399018,45433.2729517232,39146.8349357526,104547.065977032,1.13365039418655
10.725,0.0233673323690734,0.250614639658312,10.598557136595,0.0759893028017608,0.425239976514864,0.693055870327405,0.951939397968037,0.616898329972818,45478.7289488854,39185.4571749077,104659.798429528,1.13478461159492
10.726,0.0233673323690734,0.250638006990682,10.598557136595,0.0759963880514393,0.425279625929924,0.694439450716558,0.953224797186111,0.617784946221016,45524.2304247805,39224.117518736,104772.652440728,1.135919963788
10.727,0.0233673323690734,0.250661374323051,10.598557136595,0.0760034733011177,0.425319275344984,0.695820002899271,0.954482238650372,0.618670780173223,45569.7774249098,39262.8160048319,104885.628141708,1.13705645190114
10.728,0.0233673323690734,0.25068474165542,10.598557136595,0.0760105585507962,0.425358924760043,0.697197512637813,0.95571212759313,0.619555827873401,45615.3699948202,39301.5526708261,104998.725663686,1.13819407707082
10.729,0.0233673323690734,0.250708108987789,10.598557136595,0.0760176438004747,0.425398574175103,0.698571965829699,0.956914869467601,0.620440085379916,45661.0081801045,39340.3275543871,105111.945138019,1.13933284043467
10.73,0.0233673323690734,0.250731476320158,10.598557136595,0.0760247290501532,0.425438223590163,0.699943348507939,0.958090869737142,0.621323548765568,45706.6920264008,39379.1406932204,105225.28669621,1.14047274313147
10.731,0.0233673323690734,0.250754843652527,10.598557136595,0.0760318142998317,0.425477873005222,0.701311646841275,0.959240533669362,0.622206214117633,45752.4215793929,39417.9921250684,105338.750469899,1.14161378630109
10.732,0.0233673323690734,0.250778210984896,10.598557136595,0.0760388995495102,0.425517522420282,0.702676847134434,0.960364266135187,0.623088077537905,45798.1968848104,39456.8818877111,105452.336590871,1.14275597108461
10.733,0.0233673323690734,0.250801578317265,10.598557136595,0.0760459847991887,0.425557171835342,0.704038935828347,0.961462471412897,0.62396913514274,45844.0179884286,39495.8100189657,105566.045191053,1.14389929862418
10.734,0.0233673323690734,0.250824945649634,10.598557136595,0.0760530700488671,0.425596821250401,0.705397899500361,0.96253555299719,0.624849383063082,45889.8849360686,39534.7765566865,105679.876402512,1.14504377006315
10.735,0.0233673323690734,0.250848312982003,10.598557136595,0.0760601552985456,0.425636470665461,0.706753724864463,0.963583913413346,0.625728817444515,45935.7977735973,39573.7815387653,105793.830357461,1.14618938654599
10.736,0.0233673323690734,0.250871680314372,10.598557136595,0.0760672405482241,0.425676120080521,0.708106398771469,0.964607954036479,0.626607434447298,45981.7565469277,39612.8250031315,105907.907188252,1.14733614921831
10.737,0.0233673323690734,0.250895047646741,10.598557136595,0.0760743257979026,0.42571576949558,0.70945590820921,0.965608074915924,0.627485230246394,46027.7613020185,39651.9069877514,106022.107027382,1.14848405922687
10.738,0.0233673323690734,0.25091841497911,10.598557136595,0.0760814110475811,0.42575541891064,0.710802240302724,0.966584674604804,0.62836220103152,46073.8120848743,39691.0275306292,106136.430007489,1.14963311771959
10.739,0.0233673323690734,0.25094178231148,10.598557136595,0.0760884962972596,0.4257950683257,0.712145382314426,0.967538149994755,0.629238343007177,46119.9089415462,39730.1866698065,106250.876261357,1.15078332584552
10.74,0.0233673323690734,0.250965149643849,10.598557136595,0.0760955815469381,0.425834717740759,0.713485321644255,0.968468896155841,0.630113652392685,46166.0519181307,39769.3844433622,106365.44592191,1.15193468475488
10.741,0.0233673323690734,0.250988516976218,10.598557136595,0.0761026667966165,0.425874367155819,0.714822045829849,0.969377306181669,0.630988125422226,46212.2410607711,39808.6208894131,106480.139122218,1.15308719559901
10.742,0.0233673323690734,0.251011884308587,10.598557136595,0.076109752046295,0.425914016570878,0.716155542546677,0.97026377103969,0.631861758344877,46258.4764156564,39847.8960461134,106594.955995491,1.15424085953044
10.743,0.0233673323690734,0.251035251640956,10.598557136595,0.0761168372959735,0.425953665985938,0.717485799608167,0.971128679426683,0.632734547424638,46304.7580290219,39887.209951655,106709.896675086,1.15539567770282
10.744,0.0233673323690734,0.251058618973325,10.598557136595,0.076123922545652,0.425993315400998,0.718812804965847,0.971972417629433,0.633606488940481,46351.0859471493,39926.5626442675,106824.961294503,1.15655165127097
10.745,0.0233673323690734,0.251081986305694,10.598557136595,0.0761310077953305,0.426032964816057,0.720136546709455,0.972795369390551,0.634477579186374,46397.4602163666,39965.9541622183,106940.149987385,1.15770878139088
